Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,RainToday,RainTomorrow
2009-07-04,Cobar,7.1,13.5,0.0,2.6,5.7,33.0,No,No
2009-07-05,Cobar,8.3,14.7,0.0,2.4,7.4,24.0,No,No
2009-07-06,Cobar,4.4,12.8,0.0,2.2,6.1,22.0,No,No
2009-07-07,Cobar,1.7,14.6,0.0,1.0,9.8,20.0,No,No
2009-07-08,Cobar,5.3,16.6,0.0,2.0,9.6,31.0,No,No
2009-07-09,Cobar,6.3,17.0,0.0,2.2,10.0,30.0,No,No
2009-07-10,Cobar,5.6,17.6,0.0,2.4,10.0,30.0,No,No
2009-07-11,Cobar,8.4,18.4,0.0,2.8,7.0,33.0,No,No
2009-07-12,Cobar,10.5,19.5,0.2,3.4,2.9,28.0,No,No
2009-07-13,Cobar,7.7,15.6,0.2,1.2,5.5,28.0,No,No
2009-07-15,Cobar,6.3,12.0,5.8,2.0,2.5,22.0,Yes,Yes
2009-07-17,Cobar,1.9,13.7,0.0,1.0,7.1,15.0,No,No
2009-07-18,Cobar,3.2,15.3,0.0,0.8,8.9,24.0,No,No
2009-07-19,Cobar,3.7,17.6,0.0,2.2,10.3,24.0,No,No
2009-07-21,Cobar,8.2,22.7,0.0,3.8,9.1,31.0,No,No
2009-07-22,Cobar,12.2,17.4,0.0,4.2,1.7,43.0,No,Yes
2009-07-23,Cobar,5.1,13.0,2.4,1.6,8.1,33.0,Yes,No
2009-07-24,Cobar,1.2,15.5,0.0,1.6,10.3,20.0,No,No
2009-07-25,Cobar,3.4,17.1,0.0,1.8,9.5,33.0,No,No
2009-07-26,Cobar,8.9,12.2,0.8,2.4,1.2,24.0,No,Yes
2009-07-27,Cobar,4.6,11.4,1.8,0.6,1.4,30.0,Yes,No
2009-07-28,Cobar,3.6,16.6,0.0,0.8,8.2,26.0,No,No
2009-07-29,Cobar,5.3,15.1,0.0,2.2,2.9,24.0,No,No
2009-07-30,Cobar,4.9,15.8,0.0,1.6,5.5,20.0,No,No
2009-07-31,Cobar,9.3,17.2,0.0,1.4,6.2,26.0,No,No
2009-08-01,Cobar,4.7,16.3,0.0,2.6,10.1,20.0,No,No
2009-08-02,Cobar,5.2,17.6,0.0,2.2,10.1,17.0,No,No
2009-08-05,Cobar,5.9,19.9,0.0,5.0,6.3,20.0,No,No
2009-08-06,Cobar,8.0,20.5,0.0,2.4,9.9,26.0,No,No
2009-08-07,Cobar,7.2,19.2,0.0,4.2,10.1,44.0,No,No
2009-08-08,Cobar,2.3,16.2,0.0,4.2,10.8,24.0,No,No
2009-08-09,Cobar,1.7,17.6,0.0,3.2,8.8,19.0,No,No
2009-08-10,Cobar,6.2,21.4,0.0,2.4,9.8,43.0,No,No
2009-08-11,Cobar,8.4,19.1,0.0,5.4,5.8,44.0,No,No
2009-08-12,Cobar,7.5,19.3,0.0,4.0,9.8,37.0,No,No
2009-08-13,Cobar,4.1,19.0,0.0,3.8,7.8,28.0,No,No
2009-08-14,Cobar,6.5,20.3,0.0,2.4,10.7,17.0,No,No
2009-08-15,Cobar,7.4,22.8,0.0,3.6,10.6,35.0,No,No
2009-08-16,Cobar,13.4,28.0,0.0,6.4,2.3,57.0,No,No
2009-08-17,Cobar,7.8,18.2,0.0,6.0,10.8,37.0,No,No
2009-08-18,Cobar,5.2,18.8,0.0,3.4,10.7,26.0,No,No
2009-08-19,Cobar,4.9,21.3,0.0,4.0,9.4,24.0,No,No
2009-08-20,Cobar,10.0,22.8,0.0,3.4,10.0,22.0,No,No
2009-08-21,Cobar,10.5,27.6,0.0,4.0,4.4,61.0,No,No
2009-08-22,Cobar,11.9,19.9,0.4,6.2,2.2,30.0,No,No
2009-08-23,Cobar,14.1,28.9,0.2,2.2,7.0,37.0,No,No
2009-08-24,Cobar,15.4,23.2,0.0,4.2,3.9,57.0,No,No
2009-08-25,Cobar,10.4,17.5,0.0,6.0,9.8,65.0,No,No
2009-08-26,Cobar,6.2,18.8,0.0,4.2,11.0,22.0,No,No
2009-08-27,Cobar,5.2,23.3,0.0,3.4,11.1,31.0,No,No
2009-08-28,Cobar,6.5,23.7,0.0,4.8,5.7,24.0,No,No
2009-08-29,Cobar,15.4,26.7,0.4,5.2,1.4,48.0,No,No
2009-08-30,Cobar,9.3,16.3,0.0,7.8,11.3,54.0,No,No
2009-08-31,Cobar,3.5,18.2,0.0,4.0,10.8,35.0,No,No
2009-09-01,Cobar,6.6,21.1,0.0,4.8,11.0,22.0,No,No
2009-09-02,Cobar,7.4,22.9,0.0,3.8,11.2,39.0,No,No
2009-09-05,Cobar,6.1,19.0,8.0,6.0,11.4,30.0,Yes,No
2009-09-06,Cobar,6.7,21.7,0.0,3.8,10.6,39.0,No,No
2009-09-07,Cobar,13.3,21.0,0.0,7.2,8.3,54.0,No,No
2009-09-08,Cobar,7.9,18.5,0.0,6.2,10.7,41.0,No,No
2009-09-09,Cobar,4.9,18.6,0.0,4.8,11.3,35.0,No,No
2009-09-11,Cobar,6.5,26.0,0.0,4.6,11.3,37.0,No,No
2009-09-12,Cobar,12.0,30.1,0.0,7.6,11.2,44.0,No,No
2009-09-13,Cobar,14.5,32.7,0.0,10.8,11.0,46.0,No,No
2009-09-14,Cobar,13.8,24.6,0.0,10.0,10.9,33.0,No,No
2009-09-15,Cobar,8.1,24.2,0.0,6.4,10.6,24.0,No,No
2009-09-16,Cobar,7.1,28.2,0.0,5.2,11.5,26.0,No,No
2009-09-17,Cobar,15.7,31.3,0.0,6.2,3.5,50.0,No,Yes
2009-09-18,Cobar,10.9,22.9,7.0,5.2,9.9,24.0,Yes,No
2009-09-19,Cobar,9.6,26.6,0.0,4.0,10.9,31.0,No,No
2009-09-20,Cobar,14.4,29.2,0.0,6.0,9.2,59.0,No,No
2009-09-21,Cobar,14.8,21.5,0.6,6.8,0.6,44.0,No,No
2009-09-22,Cobar,15.1,29.6,1.0,2.2,3.1,83.0,No,No
2009-09-23,Cobar,9.6,18.7,0.4,9.2,1.9,74.0,No,No
2009-09-24,Cobar,7.1,21.7,0.0,4.2,11.2,33.0,No,No
2009-09-25,Cobar,8.8,27.5,0.0,6.2,10.5,65.0,No,No
2009-09-26,Cobar,8.7,17.7,0.0,13.0,9.7,63.0,No,No
2009-09-27,Cobar,6.9,16.8,0.0,8.2,11.7,50.0,No,No
2009-09-28,Cobar,7.7,19.3,0.0,7.0,11.6,39.0,No,No
2009-09-29,Cobar,5.9,22.1,0.0,5.8,11.5,28.0,No,No
2009-09-30,Cobar,7.4,27.6,0.0,5.8,11.9,35.0,No,No
2009-10-01,Cobar,14.7,34.9,0.0,10.0,11.4,43.0,No,No
2009-10-02,Cobar,16.6,33.4,0.0,11.0,9.2,72.0,No,No
2009-10-03,Cobar,11.6,17.7,0.0,10.6,3.7,44.0,No,No
2009-10-04,Cobar,8.2,20.8,0.0,4.0,7.7,30.0,No,No
2009-10-05,Cobar,11.2,24.1,0.0,3.8,11.7,33.0,No,No
2009-10-06,Cobar,8.0,22.4,0.0,7.6,12.0,41.0,No,No
2009-10-07,Cobar,5.4,18.1,0.0,8.4,12.0,44.0,No,No
2009-10-08,Cobar,4.0,19.6,0.0,7.4,12.1,31.0,No,No
2009-10-09,Cobar,6.1,22.0,0.0,5.6,11.9,30.0,No,No
2009-10-10,Cobar,9.7,24.4,0.0,6.8,7.9,41.0,No,No
2009-10-11,Cobar,10.3,27.7,0.0,6.6,10.5,48.0,No,No
2009-10-12,Cobar,16.3,29.1,0.0,8.4,0.9,76.0,No,No
2009-10-13,Cobar,9.1,23.8,0.6,4.6,10.1,69.0,No,No
2009-10-14,Cobar,12.4,21.5,0.0,10.4,11.2,54.0,No,No
2009-10-15,Cobar,9.5,21.6,0.0,7.6,9.2,50.0,No,No
2009-10-16,Cobar,6.7,19.5,0.0,7.2,12.6,44.0,No,No
2009-10-17,Cobar,7.8,22.1,0.0,7.6,9.6,31.0,No,No
2009-10-18,Cobar,8.5,24.8,0.0,6.0,12.5,35.0,No,No
2009-10-19,Cobar,9.9,28.6,0.0,7.0,12.9,30.0,No,No
2009-10-20,Cobar,13.9,32.6,0.0,7.6,12.7,39.0,No,No
2009-10-21,Cobar,15.4,36.0,0.0,9.6,12.3,33.0,No,No
2009-10-22,Cobar,17.1,36.7,0.0,11.4,9.8,48.0,No,No
2009-10-23,Cobar,17.5,35.1,0.0,11.2,11.0,43.0,No,No
2009-10-26,Cobar,9.8,16.1,6.0,6.8,0.1,57.0,Yes,Yes
2009-10-28,Cobar,15.3,26.1,0.2,3.6,8.0,35.0,No,No
2009-10-29,Cobar,16.4,31.2,0.2,4.4,8.2,44.0,No,No
2009-10-30,Cobar,17.9,30.7,0.0,8.6,11.8,33.0,No,No
2009-10-31,Cobar,19.6,33.4,0.0,8.8,11.8,31.0,No,No
2009-11-01,Cobar,21.2,35.0,0.0,10.0,12.8,26.0,No,No
2009-11-02,Cobar,21.9,37.5,0.0,10.4,12.7,28.0,No,No
2009-11-03,Cobar,21.3,38.3,0.0,12.6,11.3,56.0,No,No
2009-11-04,Cobar,16.7,28.3,0.0,14.6,10.6,30.0,No,No
2009-11-05,Cobar,14.3,27.3,0.0,10.4,13.1,30.0,No,No
2009-11-06,Cobar,14.9,31.3,0.0,8.6,12.7,44.0,No,No
2009-11-07,Cobar,16.6,29.2,0.0,10.6,11.5,41.0,No,No
2009-11-08,Cobar,18.0,31.8,0.0,10.2,12.6,43.0,No,No
2009-11-09,Cobar,20.0,32.7,0.0,10.6,11.7,35.0,No,No
2009-11-10,Cobar,18.9,34.1,0.0,9.6,13.7,43.0,No,No
2009-11-11,Cobar,19.8,36.5,0.0,10.2,12.8,30.0,No,No
2009-11-12,Cobar,21.7,40.4,0.0,11.8,10.3,72.0,No,No
2009-11-13,Cobar,21.9,37.4,0.0,13.8,13.1,37.0,No,No
2009-11-14,Cobar,20.2,36.4,0.0,14.2,13.2,37.0,No,No
2009-11-15,Cobar,22.5,39.8,0.0,10.6,11.4,33.0,No,No
2009-11-16,Cobar,25.3,41.7,0.0,12.4,7.7,46.0,No,No
2009-11-17,Cobar,23.6,38.2,0.0,16.8,12.1,43.0,No,No
2009-11-18,Cobar,21.0,41.8,0.0,14.8,12.7,31.0,No,No
2009-11-19,Cobar,27.4,43.9,0.0,13.8,8.5,44.0,No,No
2009-11-20,Cobar,28.8,45.4,0.0,17.0,8.8,56.0,No,No
2009-11-21,Cobar,27.3,39.7,0.0,20.2,9.7,39.0,No,No
2009-11-22,Cobar,26.1,33.1,0.0,12.0,2.9,57.0,No,No
2009-11-23,Cobar,17.6,19.6,0.2,10.0,0.2,43.0,No,Yes
2009-11-24,Cobar,13.8,33.8,7.0,1.8,6.1,35.0,Yes,No
2009-11-25,Cobar,19.4,36.7,0.0,6.4,12.0,54.0,No,No
2009-11-26,Cobar,21.4,28.1,0.6,12.6,4.6,44.0,No,Yes
2009-11-27,Cobar,15.4,33.0,2.0,4.8,12.6,41.0,Yes,No
2009-11-28,Cobar,19.8,32.2,0.0,11.6,11.1,52.0,No,No
2009-11-29,Cobar,18.5,26.2,0.0,15.6,12.0,57.0,No,No
2009-11-30,Cobar,15.4,27.3,0.0,10.8,10.9,37.0,No,No
2009-12-01,Cobar,14.0,28.0,0.0,8.8,12.4,37.0,No,No
2009-12-02,Cobar,15.3,29.8,0.0,10.0,12.5,37.0,No,No
2009-12-03,Cobar,17.1,34.0,0.0,12.0,11.8,33.0,No,No
2009-12-04,Cobar,17.5,35.8,0.0,11.0,12.4,41.0,No,No
2009-12-05,Cobar,15.5,32.7,0.0,14.6,12.4,35.0,No,No
2009-12-06,Cobar,17.5,33.5,0.0,13.6,12.5,39.0,No,No
2009-12-07,Cobar,19.8,37.5,0.0,10.8,12.5,37.0,No,No
2009-12-08,Cobar,22.8,39.9,0.0,14.0,8.2,74.0,No,No
2009-12-09,Cobar,13.3,31.3,0.0,13.8,12.5,24.0,No,No
2009-12-10,Cobar,18.9,35.0,0.0,10.4,4.0,54.0,No,No
2009-12-12,Cobar,13.4,31.9,0.0,8.2,12.2,33.0,No,No
2009-12-13,Cobar,18.4,33.9,0.0,11.8,12.4,37.0,No,No
2009-12-14,Cobar,18.9,35.9,0.0,12.8,12.4,39.0,No,No
2009-12-15,Cobar,19.8,38.8,0.0,12.4,12.6,54.0,No,No
2009-12-16,Cobar,22.8,41.9,0.0,13.4,12.7,44.0,No,No
2009-12-17,Cobar,26.5,41.8,0.0,15.2,11.1,67.0,No,Yes
2009-12-18,Cobar,18.7,24.8,1.6,15.2,2.4,41.0,Yes,No
2009-12-19,Cobar,14.3,30.9,0.2,4.0,12.5,31.0,No,No
2009-12-20,Cobar,17.6,34.2,0.0,10.6,11.7,35.0,No,No
2009-12-21,Cobar,19.2,37.6,0.0,11.6,12.4,31.0,No,No
2009-12-22,Cobar,22.6,38.4,0.0,11.4,12.9,41.0,No,No
2009-12-23,Cobar,21.9,39.7,0.0,12.8,12.0,39.0,No,No
2009-12-24,Cobar,27.3,39.6,0.0,17.2,5.1,57.0,No,Yes
2009-12-25,Cobar,19.4,24.7,17.2,14.2,0.0,33.0,Yes,Yes
2009-12-26,Cobar,20.3,25.4,7.2,12.4,3.4,31.0,Yes,Yes
2009-12-27,Cobar,18.6,29.7,6.6,3.8,5.2,33.0,Yes,No
2009-12-28,Cobar,21.9,32.2,0.0,3.4,8.1,39.0,No,No
2009-12-29,Cobar,21.9,33.6,0.0,7.8,12.9,41.0,No,No
2009-12-30,Cobar,22.3,32.3,0.0,12.2,11.2,43.0,No,No
2009-12-31,Cobar,21.5,27.2,0.0,10.6,0.5,46.0,No,Yes
2010-01-01,Cobar,19.3,26.4,1.6,4.0,2.2,30.0,Yes,Yes
2010-01-02,Cobar,21.0,33.4,3.0,2.2,9.5,44.0,Yes,No
